CustomerID,CustomerName,Segment,Region,JoinDate
CUST-00001,Yash Patel,Corporate,North,2022-12-23
CUST-00002,Ravi Kulkarni,Consumer,North,2024-11-12
CUST-00003,Simran Gupta,Consumer,North,2024-05-08
CUST-00004,Yash Bose,Consumer,Central,2023-10-27
CUST-00005,Rahul Nair,Consumer,Central,2024-10-11
CUST-00006,Aryan Kulkarni,Consumer,Central,2022-03-26
CUST-00007,Simran Gupta,Consumer,East,2023-09-13
CUST-00008,Kavya Iyer,Small Business,Central,2024-11-20
CUST-00009,Simran Reddy,Consumer,East,2022-08-28
CUST-00010,Riya Gupta,Consumer,North,2022-12-29
CUST-00011,Meera Iyer,Corporate,North,2024-04-01
CUST-00012,Tanvi Singh,Consumer,North,2023-10-30
CUST-00013,Meera Pillai,Corporate,South,2022-04-09
CUST-00014,Aman Sharma,Corporate,South,2022-02-16
CUST-00015,Tanvi Bose,Consumer,West,2024-04-18
CUST-00016,Riya Pillai,Consumer,West,2023-02-26
CUST-00017,Dev Sharma,Consumer,West,2022-03-03
CUST-00018,Aryan Kulkarni,Consumer,South,2024-10-06
CUST-00019,Pooja Pillai,Consumer,South,2023-08-21
CUST-00020,Tanvi Reddy,Consumer,West,2023-01-27
CUST-00021,Tanvi Nair,Consumer,West,2024-09-03
CUST-00022,Kavya Chopra,Consumer,Central,2024-12-11
CUST-00023,Rahul Gupta,Corporate,West,2023-08-26
CUST-00024,Rahul Nair,Corporate,Central,2022-12-03
CUST-00025,Aman Chopra,Consumer,East,2024-03-20
CUST-00026,Yash Verma,Consumer,South,2024-01-22
CUST-00027,Kavya Chopra,Small Business,West,2024-05-30
CUST-00028,Tanvi Verma,Corporate,South,2023-09-27
CUST-00029,Pooja Chopra,Small Business,South,2022-09-11
CUST-00030,Pooja Gupta,Consumer,South,2022-01-20
CUST-00031,Meera Patel,Corporate,East,2023-06-12
CUST-00032,Tanvi Pillai,Consumer,North,2023-01-11
CUST-00033,Yash Pillai,Consumer,West,2022-06-15
CUST-00034,Ravi Iyer,Consumer,North,2024-05-10
CUST-00035,Rahul Sharma,Consumer,North,2023-09-09
CUST-00036,Kavya Verma,Consumer,North,2023-09-04
CUST-00037,Simran Patel,Consumer,South,2023-05-18
CUST-00038,Meera Singh,Corporate,Central,2024-07-01
CUST-00039,Riya Bose,Small Business,South,2022-03-20
CUST-00040,Kavya Singh,Consumer,South,2023-08-08
CUST-00041,Ravi Verma,Consumer,North,2023-11-19
CUST-00042,Pooja Pillai,Consumer,South,2023-01-31
CUST-00043,Meera Bose,Corporate,North,2023-02-06
CUST-00044,Ishita Patel,Consumer,Central,2024-09-01
CUST-00045,Ishita Iyer,Small Business,West,2022-08-12
CUST-00046,Ishita Nair,Consumer,North,2023-06-02
CUST-00047,Tanvi Chopra,Consumer,Central,2023-09-26
CUST-00048,Ishita Iyer,Corporate,West,2022-08-24
CUST-00049,Aman Verma,Corporate,East,2022-04-26
CUST-00050,Aman Iyer,Consumer,North,2022-08-14
CUST-00051,Pooja Chopra,Consumer,North,2022-08-18
CUST-00052,Tanvi Pillai,Small Business,East,2022-07-01
CUST-00053,Tanvi Chopra,Consumer,East,2022-07-29
CUST-00054,Ravi Sharma,Small Business,North,2022-04-06
CUST-00055,Dev Nair,Consumer,East,2024-06-12
CUST-00056,Dev Iyer,Corporate,South,2024-01-26
CUST-00057,Aditya Pillai,Corporate,West,2023-02-19
CUST-00058,Simran Iyer,Consumer,West,2023-01-29
CUST-00059,Aryan Reddy,Small Business,West,2023-11-27
CUST-00060,Aditya Iyer,Consumer,South,2024-04-23
CUST-00061,Rahul Reddy,Consumer,East,2023-08-27
CUST-00062,Aditya Kulkarni,Corporate,Central,2023-08-05
CUST-00063,Aman Bose,Consumer,East,2022-05-13
